diffusion_ratio, contact_angle_ratio
0.49864, 1.96950
0.99886, 1.75807
2.98308, 1.46592
5.96383, 1.31525
11.97534, 1.20306
23.89940, 1.13005
47.65971, 1.08760
95.27172, 1.06511
191.36536, 1.05310
