x, y
0.99423, 0.14165
0.99432, 0.15400
0.99434, 0.13067
0.99445, 0.16376
0.99446, 0.12367
0.99464, 0.17224
0.99483, 0.11577
0.99487, 0.18083
0.99510, 0.18889
0.99528, 0.10824
0.99532, 0.19664
0.99555, 0.20363
0.99585, 0.10122
0.99577, 0.21085
0.99600, 0.21827
0.99623, 0.22559
0.99657, 0.09411
0.99645, 0.23312
0.99668, 0.24075
0.99690, 0.24903
0.99736, 0.08809
0.99713, 0.25762
0.99736, 0.26652
0.99754, 0.27464
0.99770, 0.28132
0.99785, 0.28880
0.99819, 0.08263
0.99800, 0.29643
0.99815, 0.30439
0.99830, 0.31345
0.99846, 0.32273
0.99860, 0.33254
0.99901, 0.07791
0.99875, 0.34495
0.99889, 0.35667
0.99898, 0.36643
0.99905, 0.37454
0.99914, 0.38318
0.99922, 0.39368
0.99984, 0.07366
1.00067, 0.06990
1.00150, 0.06643
1.00233, 0.06334
1.00316, 0.06036
1.00399, 0.05755
1.00482, 0.05483
1.00565, 0.05237
1.00648, 0.04997
1.00731, 0.04775
1.00813, 0.04563
1.00896, 0.04358
1.00979, 0.04159
1.01062, 0.03973
1.01145, 0.03794
1.01228, 0.03609
1.01311, 0.03447
1.01394, 0.03285
1.01477, 0.03120
1.01560, 0.02967
1.01643, 0.02816
1.01725, 0.02666
1.01808, 0.02524
1.01891, 0.02383
1.01974, 0.02247
1.02057, 0.02117
1.02140, 0.01989
1.02223, 0.01865
1.02306, 0.01741
1.02389, 0.01613
1.02472, 0.01498
1.02555, 0.01379
1.02637, 0.01266
1.02720, 0.01156
1.02803, 0.01043
1.02886, 0.00934
1.02969, 0.00829
1.03052, 0.00722
1.03135, 0.00621
1.03218, 0.00523
1.03301, 0.00422
1.03384, 0.00326
1.03467, 0.00231
1.03549, 0.00129
1.03598, 0.00070
