x, y
0.99669, 0.06826
0.99769, 0.11668
0.99872, 0.04407
0.99861, 0.14543
0.99917, 0.17030
0.99956, 0.19942
1.00035, 0.03590
0.99991, 0.27775
0.99983, 0.24124
0.99976, 0.21815
0.99998, 1.52636
0.99998, 1.47893
0.99998, 1.39404
0.99998, 1.30313
0.99998, 1.22615
1.00001, 1.14605
1.00001, 1.06491
0.99998, 0.99123
0.99998, 0.91407
0.99998, 0.83668
0.99998, 0.75929
0.99998, 0.67939
0.99996, 0.60512
1.00001, 0.53979
0.99998, 0.50401
0.99998, 0.47655
0.99998, 0.44908
0.99998, 0.42162
0.99998, 0.39416
0.99998, 0.36670
0.99998, 0.33923
0.99998, 0.31177
0.99999, 0.58390
1.00198, 0.03022
1.00360, 0.02546
1.00523, 0.02171
1.00685, 0.01819
1.00848, 0.01513
1.01010, 0.01252
1.01173, 0.01014
1.01336, 0.00809
1.01498, 0.00571
1.01661, 0.00355
1.01823, 0.00174
1.01912, 0.00094
0.99673, 0.08999
0.99753, 0.05337
