x, y
0.99359, 0.16408
0.99363, 0.15211
0.99378, 0.18099
0.99381, 0.14297
0.99400, 0.19319
0.99419, 0.13254
0.99430, 0.20353
0.99461, 0.21482
0.99483, 0.12095
0.99498, 0.22750
0.99540, 0.24089
0.99572, 0.11031
0.99585, 0.25507
0.99619, 0.26637
0.99638, 0.27448
0.99683, 0.10060
0.99671, 0.28598
0.99702, 0.29890
0.99729, 0.30843
0.99747, 0.31552
0.99803, 0.09228
0.99781, 0.33143
0.99808, 0.34842
0.99800, 0.33938
0.99830, 0.35911
0.99845, 0.36881
0.99856, 0.38043
0.99875, 0.39077
0.99927, 0.08536
1.00067, 0.07833
1.00155, 0.07573
1.00278, 0.07006
1.00422, 0.06481
1.00509, 0.06248
1.00630, 0.05855
1.00728, 0.05601
1.00849, 0.05264
1.00952, 0.05018
1.01075, 0.04689
1.01178, 0.04498
1.01301, 0.04190
1.01404, 0.04021
1.01527, 0.03703
1.01630, 0.03543
1.01729, 0.03363
1.01846, 0.03172
1.01997, 0.02886
1.02148, 0.02615
1.02240, 0.02525
1.02391, 0.02292
1.02532, 0.02075
1.02673, 0.01868
1.02766, 0.01788
1.02916, 0.01550
1.03009, 0.01465
1.03132, 0.01253
1.03225, 0.01184
1.03376, 0.00977
1.03459, 0.00929
1.03610, 0.00738
1.03703, 0.00616
1.03843, 0.00500
1.03941, 0.00400
1.04024, 0.00321
1.04109, 0.00223
1.04186, 0.00146
