time, contact_angle
0.00004578093, 79.96137
0.00005017165, 79.21422
0.00005593578, 78.12127
0.00006641490, 76.48824
0.00007073104, 75.97702
0.00008078621, 74.67160
0.00008875970, 74.02180
0.00009525215, 72.98976
0.0001002877, 72.50599
0.0001109172, 71.45848
0.0001170485, 70.84909
0.0001335182, 69.51586
0.0001405767, 68.94225
0.0001585318, 67.72669
0.0001688344, 67.27325
0.0001882315, 65.92677
0.0002021927, 65.44300
0.0002247781, 64.18252
0.0002393858, 63.75520
0.0002730695, 62.45171
0.0002930436, 62.04589
0.0003298425, 60.93937
0.0003607878, 60.37600
0.0004194815, 59.18922
0.0004493070, 58.79928
0.0005274087, 57.67244
0.0005773763, 57.21897
0.0006530595, 56.48436
0.0007061975, 56.04181
0.0008828253, 54.93208
0.0009861313, 54.51076
0.001161973, 53.74465
0.001266147, 53.45366
0.001564807, 52.66277
0.001705096, 52.40549
0.002154045, 51.70135
0.002349400, 51.48140
0.002970827, 50.84498
0.003270693, 50.61181
0.004016679, 50.13046
0.004464045, 49.95867
0.005776825, 49.47871
0.006324278, 49.33035
0.008135586, 48.94119
0.008977299, 48.81692
0.01120978, 48.48182
0.01271411, 48.35871
0.01377489, 48.26077
0.01675826, 48.07578
0.01855038, 47.99859
0.02398068, 47.79704
0.02769256, 47.68877
0.03043546, 47.63383
0.03734732, 47.49826
0.04245942, 47.37851
