time, contact_angle
0.00004604372, 79.64731
0.00004988529, 78.92396
0.00005404737, 78.14994
0.00005855670, 77.39434
0.00006344226, 76.64796
0.00006873544, 75.87854
0.00007447024, 75.11833
0.00008068352, 74.35813
0.00008741519, 73.58871
0.00009416794, 72.80163
0.0001008634, 72.05448
0.0001080348, 71.30195
0.0001157162, 70.53868
0.0001239437, 69.79690
0.0001327562, 69.04438
0.0001421952, 68.29185
0.0001523054, 67.54470
0.0001631345, 66.79755
0.0001747335, 66.05577
0.0001871571, 65.33550
0.0002004642, 64.63135
0.0002147173, 63.92720
0.0002313041, 63.19464
0.0002506025, 62.42983
0.0002715110, 61.69266
0.0002941639, 60.96471
0.0003205364, 60.21832
0.0003512781, 59.44430
0.0003849682, 58.71462
0.0004243112, 57.99658
0.0004703596, 57.27631
0.0005214054, 56.59545
0.0005813088, 55.90635
0.0006555563, 55.21940
0.0007435307, 54.53333
0.0008433112, 53.89418
0.0009564820, 53.30779
0.001084840, 52.76539
0.001230424, 52.23471
0.001395544, 51.75681
0.001582824, 51.33461
0.001795236, 50.94173
0.002036153, 50.58404
0.002309401, 50.25567
0.002619319, 49.95661
0.002970827, 49.68101
0.003369506, 49.40248
0.003821688, 49.17672
0.004334551, 48.97442
0.004916240, 48.79264
0.005575991, 48.64311
0.006324278, 48.49358
0.007172985, 48.36458
0.008135586, 48.22091
0.009227367, 48.11536
0.01046566, 48.02741
0.01188373, 47.95646
0.01346309, 47.89254
0.01526981, 47.83390
0.01731899, 47.78992
0.01964317, 47.73715
0.02227924, 47.66385
0.02556001, 47.57589
0.03288054, 47.58321
0.03542054, 47.54364
0.04278471, 47.53629
0.04742792, 47.54364
0.02947717, 47.59352
0.03912944, 47.54364
