time, contact_angle
0.00004500150, 80.27851
0.00004988529, 79.25543
0.00005508848, 78.42945
0.00006200621, 77.26226
0.00006528418, 76.84377
0.00007168204, 75.89236
0.00007930987, 75.02427
0.00008791698, 74.05405
0.00009690192, 73.04966
0.0001020247, 72.63500
0.0001099060, 71.69972
0.0001190758, 70.87962
0.0001246552, 70.50643
0.0001358308, 69.44214
0.0001463236, 68.73799
0.0001531797, 68.37785
0.0001622034, 67.63608
0.0001777598, 66.71231
0.0001871571, 66.24928
0.0002004642, 65.52363
0.0002222195, 64.54803
0.0002339672, 64.15296
0.0002573866, 63.23918
0.0002826106, 62.44365
0.0003097150, 61.76638
0.0003594137, 60.50213
0.0003984190, 59.81519
0.0004757752, 58.58818
0.0005886753, 57.34153
0.0006555563, 56.74237
0.0007963964, 55.75961
0.0009032713, 55.18715
0.001140013, 54.18737
0.001273415, 53.79449
0.001466519, 53.30584
0.001795236, 52.63052
0.001945018, 52.39206
0.002218699, 51.99429
0.002649477, 51.52812
0.002870530, 51.31702
0.003487237, 50.84938
0.003955217, 50.58697
0.004285213, 50.41399
0.004916240, 50.15598
0.005904466, 49.78949
0.006397094, 49.63996
0.007339109, 49.38195
0.008814363, 49.10342
0.009604590, 48.96269
0.01140393, 48.68856
0.01409391, 48.41149
0.01535746, 48.30154
0.02103981, 47.91306
0.02279522, 47.82315
0.02737735, 47.62427
0.03105134, 47.51139
0.03364205, 47.44689
0.03859607, 47.31788
0.04635437, 47.18008
