time, contact_angle
0.000006618172, 79.06642
0.000007025647, 78.51936
0.000007770950, 77.52854
0.000008311243, 76.87098
0.000009275686, 75.76729
0.000009887314, 75.17244
0.00001097301, 74.12609
0.00001169656, 73.51511
0.00001286510, 72.52071
0.00001375957, 71.83987
0.00001516251, 70.68123
0.00001600614, 70.12878
0.00001775378, 68.91042
0.00001872410, 68.37291
0.00002076850, 67.19038
0.00002190359, 66.65287
0.00002429515, 65.47930
0.00002562299, 64.94179
0.00002843656, 63.84884
0.00003031164, 63.22175
0.00003390490, 62.09297
0.00003585825, 61.59129
0.00004042480, 60.43743
0.00004289770, 59.95188
0.00004890555, 58.83923
0.00005327172, 58.18107
0.00006208537, 57.06275
0.00007441237, 55.83991
0.00008078376, 55.37048
0.00009718555, 54.29904
0.0001179700, 53.30643
0.0001271655, 52.95525
0.0001489258, 52.24574
0.0001627069, 51.88023
0.0001975040, 51.13488
0.0002128989, 50.87687
0.0002584302, 50.21752
0.0002801390, 49.96566
0.0003417691, 49.41663
0.0003706861, 49.19267
0.0004501304, 48.70293
0.0004960260, 48.50385
0.0006119684, 48.07285
0.0006674752, 47.90263
0.0008188928, 47.54429
0.0008981851, 47.40096
0.001108129, 47.07845
0.001208639, 46.97095
0.001481437, 46.72011
0.001798934, 46.51162
0.002244425, 46.29906
0.002447999, 46.23635
0.003037165, 46.07509
0.003312642, 46.03030
0.004030116, 45.90569
0.005028140, 45.79738
0.005552204, 45.75975
0.006900053, 45.68092
0.008568703, 45.62119
0.009442372, 45.60925
