time, contact_angle
0.00008215274, 80.31913
0.00008985547, 79.54421
0.00009828042, 78.76930
0.0001074953, 77.98543
0.0001175742, 77.20603
0.0001285981, 76.42664
0.0001406556, 75.64725
0.0001538436, 74.85889
0.0001673282, 74.04623
0.0001809783, 73.25787
0.0001957418, 72.47464
0.0002117097, 71.68629
0.0002289802, 70.89794
0.0002476596, 70.11982
0.0002678627, 69.34171
0.0002897140, 68.57896
0.0003151079, 67.74133
0.0003427277, 66.96642
0.0003727683, 66.17359
0.0004077195, 65.36732
0.0004459477, 64.58344
0.0004905001, 63.78116
0.0005425339, 62.97290
0.0006000876, 62.19649
0.0006674752, 61.41212
0.0007466004, 60.64885
0.0008397964, 59.90383
0.0009499318, 59.15457
0.001074511, 58.45743
0.001215428, 57.81893
0.001374826, 57.21952
0.001555128, 56.65269
0.001759076, 56.11843
0.001989770, 55.61676
0.002250719, 55.12485
0.002545891, 54.69484
0.002879772, 54.26809
0.003257441, 53.90649
0.003684640, 53.52860
0.004167863, 53.18980
0.004714459, 52.83146
0.005332738, 52.53176
0.006032102, 52.23857
0.006823184, 51.97796
0.007718013, 51.71083
0.008730195, 51.44370
0.009602384, 51.27105
