globalid,id,position_0,position_1,position_2,radius
21978,10903,0.79556,0.0434406,0.049639204000000006,0.0140237
6668,10921,0.36161999999999983,0.0669419,0.029758800000000002,0.0119826
6713,10924,0.76004,0.101285,0.015615400000000002,0.0156691
8868,10953,0.2886799999999998,0.158785,0.037930700000000005,0.0107499
4690,10962,0.27102999999999966,0.156198,0.024772300000000004,0.0101623
5568,10966,0.5899899999999998,0.0794139,0.044536900000000004,0.0206639
9797,10991,0.7398599999999997,-0.0753728,0.048409820000000006,0.0204363
9747,10999,0.38832999999999984,0.0590715,0.05066128,0.011551
8691,11001,0.6006199999999997,0.0142198,0.04123499,0.0123324
12426,11004,0.1472699999999998,-0.124813,0.05432315,0.0111964
5827,11008,0.38295999999999975,-0.0763525,0.046645110000000004,0.0117204
8516,11017,1.0675499999999998,0.153178,0.057161710000000004,0.0123647
9130,11020,0.21733999999999964,-0.00191293,0.036341000000000005,0.0130702
4512,11024,0.1806399999999999,0.125878,0.04267055,0.0142141
4907,11025,0.6251099999999998,-0.0298635,0.05392298,0.0136508
15684,11038,0.19321999999999973,-0.156564,0.0350402,0.0135034
31655,11047,0.10752000000000006,-0.10401,0.0350762,0.0101117
7894,11052,0.2501699999999998,-0.137686,0.061475,0.0125499
16787,11054,0.14765000000000006,-0.00836634,0.029849100000000003,0.0123324
18900,11055,0.45805000000000007,-0.0911741,0.052067720000000005,0.0174839
17666,11056,0.1847599999999998,0.06266,0.044137130000000004,0.0101117
10054,11057,0.29373000000000005,-0.00850084,0.05081597,0.0162812
57878,11059,0.12814999999999976,-0.155426,0.018663400000000004,0.018746
38964,11061,0.008569999999999744,0.0931683,0.04133234,0.0138511
11244,11066,0.6838699999999998,0.159769,0.051075840000000004,0.0177222
3409,11068,0.9729999999999999,-0.0107363,0.05490293,0.0178036
5521,11069,0.6608,-0.0535575,0.044223620000000005,0.0150777
9705,11070,0.7227600000000001,0.152127,0.035317600000000005,0.0147701
10099,11076,0.21599999999999975,0.0858742,0.05200321,0.0105737
9173,11077,0.25678,0.0159798,0.0655897,0.01077
3762,11078,0.7643999999999997,0.0722093,0.04175185000000001,0.0135189
7896,11080,0.4242999999999997,-0.0576206,0.05481254,0.0136022
6624,11096,0.5470799999999998,0.123398,0.04528502,0.0105847
19864,11098,0.1491699999999998,-0.13673,0.0341664,0.01232
13399,11106,0.16697000000000006,0.00668272,0.0323789,0.0123225
23165,11107,0.26727999999999996,-0.041562,0.035703900000000004,0.0123625
32626,11124,0.24872999999999967,0.00792417,0.04292034,0.0146308
55772,11125,0.13321999999999967,0.0481722,0.04255366,0.0168967
16613,11126,0.35821999999999976,0.107539,0.027530500000000003,0.0101117
35705,11141,0.15131000000000006,-0.0299467,0.014413500000000003,0.0144791
17799,11143,0.16201,0.0593991,0.0327852,0.0155416
13487,11145,0.1913499999999999,0.0477284,0.013420500000000002,0.0134734
42043,11155,0.13575999999999988,0.00695317,0.013199100000000005,0.0132571
21890,11156,0.47621,0.117583,0.075479,0.0217373
8206,11165,0.13335000000000008,0.104513,0.040756940000000005,0.0125534
46357,11168,0.1221899999999998,0.139143,0.0156682,0.015731
58938,11180,0.11952999999999969,-0.0353726,0.013005600000000006,0.0130625
