position_0,position_1,position_2,density,radius
2.905899220541902431e-03,7.573807127222328918e-04,2.173815540645931943e-04,4.386044644579201304e+03,3.063940634458484091e-05
2.639385202209297652e-03,1.929864261352137733e-03,4.230708450401723855e-04,4.386042822580658139e+03,4.206666965029554902e-05
3.811533408347794142e-03,4.938712370196720117e-04,4.106103014309246549e-04,4.386034554170233605e+03,3.609890079436822746e-05
9.396881925160554443e-04,1.663714554538978270e-03,5.143961395105172736e-05,4.386054524147043594e+03,3.395359375674264404e-05
5.630177131121167407e-04,1.288706140315536239e-03,2.136058484288289407e-04,4.386049025505919417e+03,2.662534613226816207e-05
3.577063143228145174e-03,2.954375214722608587e-03,5.581662625607695894e-04,4.386068362412675924e+03,2.662476205780370248e-05
2.391650505299281523e-03,9.789400908899016998e-04,2.046570044380735141e-04,4.386019443610437520e+03,2.339489943170825379e-05
1.293374717514412815e-03,1.319489784156621008e-03,3.903082018604096988e-04,4.386056129584197151e+03,3.893957275756619580e-05
2.121137353968882786e-03,1.549485708527361533e-03,1.133091424433917940e-04,4.386061892053402516e+03,3.399057519602454331e-05
1.226622900911389347e-04,8.954058973880663595e-04,9.249819180789505490e-05,4.386061706713770945e+03,3.568574329352940892e-05
3.129941212458543613e-03,4.660635847446395496e-04,4.252370147373731816e-04,4.386070008698537094e+03,2.073763714692733522e-05
1.552549735614711579e-03,3.305075660949086461e-04,4.605199995425195538e-04,4.386060133792469060e+03,4.335693062710367526e-05
2.312454162985235363e-03,9.631819151693619702e-04,5.067326682757814730e-04,4.386074188720448547e+03,3.810168596801235961e-05
2.063702507706195114e-04,8.238922498494683768e-04,4.371847733362982857e-04,4.386042810899495635e+03,2.785866796606054234e-05
2.826113287062641775e-03,1.168558722895198226e-03,6.105808108788312292e-05,4.386050133719691985e+03,2.721976036358069375e-05
3.412793908680428982e-03,1.264945657040199116e-03,1.340143236377097386e-04,4.386014002244887706e+03,2.725436396882308484e-05
2.063298975260887107e-03,3.616688365437933667e-03,5.307764421802945381e-05,4.386010067518810501e+03,2.952075305370028467e-05
3.045747047219393017e-03,2.285129791196273321e-03,2.601691391704861523e-04,4.386038272652131127e+03,3.286124196503672758e-05
2.960943365847199492e-03,3.833948196702320881e-03,1.545852249288170793e-04,4.386028818597812460e+03,3.150275031133178706e-05
5.954734564590880930e-04,3.627330104142871200e-03,3.914703750755664079e-04,4.386039321663653027e+03,2.930242984570072216e-05
1.756180007355247034e-03,2.288034219588792016e-03,4.305914622893935854e-04,4.386034611011987181e+03,3.415295401193646686e-05
3.077815062515219368e-03,3.657565562465512742e-03,2.599406279797888920e-04,4.386018602571585689e+03,2.621036658261708714e-05
1.185757170363910219e-03,2.550467731866609255e-03,2.543781072094747873e-04,4.386072162442970694e+03,2.931793321580461101e-05
2.372620759575741912e-03,1.684826217431933514e-03,1.129740848215597757e-04,4.386010940981582280e+03,3.051348081905717402e-05
1.879655017626119789e-03,2.751506730984490737e-03,4.605010597656007676e-04,4.386060489408202557e+03,3.185809647303938129e-05
1.973800187593609864e-03,6.857853989634133665e-04,2.551413934321451141e-04,4.386032945282423498e+03,3.709176964116093014e-05
3.129371928216455670e-03,1.656247360998697963e-03,4.070697276641837658e-04,4.386072461058795852e+03,2.760063270338463873e-05
2.028382842025342261e-03,9.818204506943661609e-04,4.583175495378800143e-04,4.386070596839534119e+03,3.270761783473810635e-05
3.650107600620194296e-04,2.097875568322510494e-03,1.450484349123302681e-04,4.386056579137036351e+03,3.385985435909011598e-05
2.879792124770515801e-04,2.011602130962444803e-03,2.997572338565456700e-04,4.386057413393286879e+03,2.277100134729453885e-05
2.813498071228626943e-03,2.962316815040533756e-03,4.211451352568901544e-04,4.386008761442096329e+03,3.408766071103033486e-05
1.643112707143644814e-03,2.519656713973926314e-03,3.420172521835536774e-04,4.386085560114233886e+03,2.696653659294245866e-05
1.689968719688933257e-03,2.384238281595092625e-03,5.471279515258568133e-04,4.386069319989230280e+03,2.372372861127936257e-05
7.973508773336295203e-04,3.589031304177196791e-03,6.955247706507779106e-05,4.386070805011528137e+03,4.196577255882696542e-05
1.250044052365904650e-03,1.170810092456929258e-03,3.649459456617703905e-04,4.386056820502248229e+03,4.302263199514093578e-05
5.526087656044113621e-04,3.500661675826653718e-03,4.724442037658743232e-04,4.386043361731884943e+03,3.756891718785180785e-05
2.599283206963388677e-03,1.836111150418482871e-03,5.342059050501450157e-04,4.386070673298937436e+03,2.952692392119527921e-05
3.306460254250731794e-03,1.997294811392194905e-03,4.110372804961281708e-04,4.386040878016354327e+03,2.498282203643022054e-05
2.262995982519546475e-03,2.345562108393528349e-03,2.105151238371900273e-04,4.386052623631182541e+03,3.528932895775395434e-05
1.850736490738119373e-03,3.391686912474317335e-04,2.234316223592796539e-04,4.386028717657382913e+03,3.162399092516678329e-05
2.773235036160429882e-03,3.789537714100793195e-03,5.540051924376283247e-04,4.386073509743732757e+03,2.573431471289678622e-05
2.219277328488717966e-03,2.419573559320057233e-03,1.318166249452247605e-04,4.386032124446604939e+03,3.242966548212402814e-05
2.772647120415641479e-03,3.015080594757020061e-04,1.802761519586079620e-04,4.386037445260705681e+03,2.197889284342995916e-05
2.659897638165150974e-03,1.256513378971450259e-03,6.615213941751327308e-05,4.386052430711288252e+03,4.025742893325587508e-05
3.308407772395987202e-03,1.252221090332323629e-03,6.297315294901062932e-05,4.386061953622536748e+03,2.873691728824323750e-05
3.288658181187815045e-04,1.024381914933403985e-03,1.293093270732278543e-04,4.386055048863331649e+03,3.493924395658195122e-05
3.080937666901966115e-03,1.297308247160062437e-03,4.647525575326169958e-04,4.386037842166146220e+03,2.964418015976294840e-05
7.167749745286425625e-04,1.971983740963063978e-03,4.004897649864540320e-04,4.386002747932036073e+03,3.279276521713910485e-05
2.597876478906148510e-03,2.397806144153445847e-03,5.266994979479469206e-04,4.386061582481091136e+03,3.318270902726220390e-05
9.289154984068483372e-04,1.975219573004694754e-03,5.094403141454496723e-04,4.386085697558928587e+03,2.728596673821420741e-05
3.481549907169509558e-04,2.620400082823485534e-04,1.630935239637124295e-04,4.386064574964985695e+03,4.333023935064526081e-05
2.522269313506144816e-03,1.057236859739840110e-03,1.370009635899260814e-04,4.386048339290675358e+03,3.689473258484005655e-05
1.838627661241146703e-03,2.444966414866197625e-03,1.699981822844085226e-04,4.386071615965825004e+03,4.148776609302029067e-05
1.218618925400194930e-03,2.445204053778777739e-03,5.319864349303152044e-04,4.386046211487873734e+03,3.977289876100854660e-05
2.687104677039776294e-03,3.112411803756231533e-03,2.291275701434395979e-04,4.386051039535989730e+03,3.394218681047379577e-05
1.107567411789716532e-03,1.820795883565215186e-03,4.592636044969666538e-04,4.386049046606965021e+03,4.072520159269882675e-05
1.827354276313377128e-03,3.369797904954680533e-03,5.691523967717947424e-04,4.386047811509979510e+03,2.466466225313412652e-05
3.116654133746551221e-04,2.066645401582361857e-04,1.090429411493970264e-04,4.386062559585589952e+03,2.752361954222304596e-05
1.542727992670956099e-03,5.409184769200586079e-04,5.055715674801270322e-04,4.386051116142789397e+03,2.269858606256014064e-05
1.210684744176899612e-04,1.274173951103506905e-03,1.296506259750586604e-04,4.386042074842443981e+03,2.986604422297552670e-05
3.699526948683293237e-03,2.667465315375495624e-03,5.217916904737458523e-04,4.386039216415304509e+03,3.085509255565975967e-05
3.861957670578886753e-03,1.988561043770719489e-03,1.559796412074411932e-04,4.386020625568035030e+03,2.895988542037705710e-05
7.982019261827494284e-04,9.127428132021863857e-04,4.092959672538400693e-04,4.386053491646151997e+03,3.801660153954211901e-05
1.896910330479217909e-04,2.326895382880581509e-04,3.583183881732847961e-04,4.386037723752365309e+03,3.036433590523616134e-05
2.559953332146673241e-03,2.651424636352332255e-03,2.305916475696954189e-04,4.386032660490790477e+03,2.912649941593547487e-05
3.203511438126704653e-03,2.132270802435559318e-03,8.941633586933000078e-05,4.386056575931070256e+03,3.312380346521187825e-05
3.172800976145771345e-03,3.788487315043623238e-03,5.911771708977419434e-05,4.386057828553225590e+03,2.624754038903534301e-05
1.573540595909574081e-03,1.950998935313218814e-03,1.143535194805390102e-04,4.386061318931888309e+03,3.743829426869039144e-05
3.453089092916804357e-03,1.147016142512533943e-03,4.561463126101942341e-04,4.386050149031040746e+03,2.413144733315541823e-05
2.668503434281442425e-03,2.383310433522058992e-03,1.431458689869383009e-04,4.386070709852909204e+03,4.524851810498424650e-05
