position_0,position_1,position_2,density,radius
4.797611698605597707e-05,3.193981161507153686e-05,2.850577386677049293e-04,4.386059697851645069e+03,3.063940634458484091e-05
1.567769124491898722e-04,3.858206206303045702e-03,1.566226896985948181e-04,4.386058112271060963e+03,4.206666965029554902e-05
1.892632463905070386e-03,2.762354183620346318e-04,3.116372025266766067e-04,4.386028337718383227e+03,3.609890079436822746e-05
1.527976342509094771e-03,2.095609723103143945e-04,2.122708073556176889e-04,4.386073579445103860e+03,3.395359375674264404e-05
1.571525187969548395e-03,3.933597306534095464e-03,1.402868026921699394e-04,4.386052866925546368e+03,2.662534613226816207e-05
2.176733968271861268e-03,3.923312875705552323e-03,4.596616409086521477e-04,4.386044207693194949e+03,2.662476205780370248e-05
3.950385437396335998e-03,3.851281674689650738e-03,2.942131679779262567e-04,4.386061550040230031e+03,2.339489943170825379e-05
2.770209816094535739e-03,4.721108641679744615e-04,2.692725742459977376e-04,4.386039175665413495e+03,3.893957275756619580e-05
3.215066733071025688e-03,2.020978582650836530e-03,4.078397062560680151e-04,4.386058405601982486e+03,3.399057519602454331e-05
2.965465682185382430e-03,1.031471838850654254e-03,4.986054010088026081e-04,4.386021004627878938e+03,3.568574329352940892e-05
1.840956099335218149e-03,8.527605668079166158e-04,5.040938051445598015e-04,4.386066471297517637e+03,2.073763714692733522e-05
1.678401473070022113e-03,2.979544195467017775e-03,3.246547101727192551e-04,4.386047834494553172e+03,4.335693062710367526e-05
1.536488779738627315e-03,3.215892032444891968e-03,3.442450653682427417e-04,4.386055810829524489e+03,3.810168596801235961e-05
1.568345997810904934e-03,4.601436479476613342e-04,5.152340288701019949e-04,4.386037241861970870e+03,2.785866796606054234e-05
1.671671545038554770e-04,3.432977648292900082e-03,2.236005423986168117e-04,4.386057636668044324e+03,2.721976036358069375e-05
2.549759875254757092e-03,3.665785325460832727e-03,1.100089986403190469e-04,4.386062396888281910e+03,2.725436396882308484e-05
2.263849045638918929e-03,3.042118935022141649e-03,4.393421621987845778e-04,4.386048883109499911e+03,2.952075305370028467e-05
2.100843065302652850e-03,2.490759652476684169e-03,4.375908827462507335e-04,4.386054978052186016e+03,3.286124196503672758e-05
3.342623933986577610e-03,3.030756722265221925e-03,2.216014575520455765e-04,4.386048176717858951e+03,3.150275031133178706e-05
3.957795023191929343e-03,1.741849235321962395e-03,4.254750102848164027e-05,4.386070713168219299e+03,2.930242984570072216e-05
1.459851880210891011e-03,5.365564415651698357e-04,9.872327530884052725e-05,4.386049911220375179e+03,3.415295401193646686e-05
1.137592253796087432e-03,2.369143607538317438e-04,4.032253659187258238e-04,4.386066635091455282e+03,2.621036658261708714e-05
3.209350676919381579e-04,8.305560957401451764e-04,7.961050666166442436e-05,4.386064059102648571e+03,2.931793321580461101e-05
2.793294697405954152e-04,1.085180072355800647e-03,3.387516050549925278e-04,4.386046239578729910e+03,3.051348081905717402e-05
3.829134231213543200e-03,3.478297577147701145e-03,5.016072767385438072e-04,4.386037730477278274e+03,3.185809647303938129e-05
7.282986379075698105e-04,1.077068790437426052e-03,7.726063310095291758e-05,4.386046050313509113e+03,3.709176964116093014e-05
3.098501554921699770e-03,3.030118904576089645e-04,3.308877297201152576e-04,4.386065598268209214e+03,2.760063270338463873e-05
1.007995068150263455e-03,9.905651004270218420e-04,5.623341380106242505e-04,4.386037596122671857e+03,3.270761783473810635e-05
3.009730174180852424e-03,3.324939997965040313e-03,3.383149647221585904e-04,4.386051018758468672e+03,3.385985435909011598e-05
3.467160415898780206e-03,2.575336226138660867e-03,5.473845788117171320e-04,4.386064343305632065e+03,2.277100134729453885e-05
1.140261656361487999e-03,2.374779742460026658e-03,4.011165430041280168e-04,4.386043751919287388e+03,3.408766071103033486e-05
1.577523440274639826e-03,3.498353111211950292e-03,5.620046387519770465e-04,4.386056055718353491e+03,2.696653659294245866e-05
1.975373587282216233e-03,1.567751442070414386e-03,2.844942310682689471e-04,4.386038564645359656e+03,2.372372861127936257e-05
3.381341242838671862e-03,2.569664312353097963e-03,6.507138166565710103e-05,4.386029587464330689e+03,4.196577255882696542e-05
2.165051120706110773e-03,1.107345293307091617e-04,4.431545730734240754e-04,4.386063648986630142e+03,4.302263199514093578e-05
1.326149338124762555e-03,1.890133225641744659e-03,4.567648374912426624e-04,4.386028645680670706e+03,3.756891718785180785e-05
2.125792116757891867e-04,6.543305785681112312e-04,2.448020582703738963e-04,4.386039887007903417e+03,2.952692392119527921e-05
9.331951173335609976e-04,1.359705062764693948e-03,5.740132210958534932e-04,4.386067573377772533e+03,2.498282203643022054e-05
3.278690436024953025e-03,3.508511984969221384e-03,5.313860506666386475e-04,4.386043437544125482e+03,3.528932895775395434e-05
1.373804005811709358e-03,1.201142304076193790e-03,1.572575061863692710e-04,4.386081790677079880e+03,3.162399092516678329e-05
3.303476980257185388e-03,2.708966160878072734e-03,1.552820559554569241e-04,4.386083708821603977e+03,2.573431471289678622e-05
1.515953414783703700e-03,2.026411735212921891e-03,3.150588890761809539e-04,4.386039731028581627e+03,3.242966548212402814e-05
3.537823304024642537e-03,1.527514580120524533e-03,5.271566065196336493e-04,4.386021241441839265e+03,2.197889284342995916e-05
1.770191023826377238e-03,2.965654038276316004e-03,5.235107265709840760e-04,4.386058956923778169e+03,4.025742893325587508e-05
3.606877877266085816e-03,2.532750867973593018e-04,1.403368796530289858e-04,4.386047952747896488e+03,2.873691728824323750e-05
1.909235516071903322e-03,1.731000042534649097e-03,3.746897024039318831e-04,4.386028813518578318e+03,3.493924395658195122e-05
3.752470132858958148e-03,4.725987342476989546e-04,2.739694198883283090e-04,4.386059075546256281e+03,2.964418015976294840e-05
7.898175367844584120e-04,3.550582637702681503e-03,5.482783735659347213e-04,4.386019232079457652e+03,3.279276521713910485e-05
1.916220199346605792e-03,4.423212130491216074e-04,4.522431002078274552e-04,4.386068710073949660e+03,3.318270902726220390e-05
2.777807017305072065e-03,1.426614200423648475e-03,5.113029094836726634e-04,4.386031966803918294e+03,2.728596673821420741e-05
3.862091739780919037e-03,2.226401754260446449e-03,3.337407345454430387e-04,4.386031093703897568e+03,4.333023935064526081e-05
1.204995390616848917e-03,2.331788488734438339e-03,2.682391532022624855e-04,4.386034523314409853e+03,3.689473258484005655e-05
1.225177412524026694e-03,3.046538247520310999e-04,1.721439127715352843e-04,4.386078991127890731e+03,4.148776609302029067e-05
8.154529915696170353e-04,2.164823675025043422e-03,3.529145900928903662e-04,4.386058389496311975e+03,3.977289876100854660e-05
2.426916573726605603e-03,1.560314766885651915e-03,2.580851104000129364e-04,4.386064060260943734e+03,3.394218681047379577e-05
3.309729863708276310e-03,1.906867100990259798e-03,5.529346647166198973e-04,4.386045687382547840e+03,4.072520159269882675e-05
1.761447561290939694e-03,2.590945051514348656e-03,5.239808892871752107e-05,4.386042977723143849e+03,2.466466225313412652e-05
2.604918758194570399e-03,3.386360524906077089e-03,5.411186206974480210e-04,4.386037969572887960e+03,2.752361954222304596e-05
3.966705497151100726e-03,1.138603056112920918e-03,3.418004510894554621e-04,4.386049193397956515e+03,2.269858606256014064e-05
1.805815659775577599e-03,2.251457970906569662e-03,1.149328245719430234e-04,4.386052165487823004e+03,2.986604422297552670e-05
3.402620234331553157e-03,3.613001198068708369e-03,2.729033859552510073e-04,4.386055593569367375e+03,3.085509255565975967e-05
1.134436898395438506e-03,5.841365561760459386e-04,3.996152783269608455e-04,4.386039162957293229e+03,2.895988542037705710e-05
1.263203973152843534e-03,3.607015750398612046e-03,3.896048586779852075e-04,4.386077009150794765e+03,3.801660153954211901e-05
2.573894024396854077e-03,2.234001051991731015e-03,5.505020326861965861e-05,4.386034140009339353e+03,3.036433590523616134e-05
3.702528965600896619e-03,2.504297230550114103e-03,5.676565978889780602e-04,4.386080069146197275e+03,2.912649941593547487e-05
2.146950846671819794e-03,2.826524223846048432e-03,6.312578948969077477e-05,4.386014328600381305e+03,3.312380346521187825e-05
2.520029206049903721e-03,3.044705643623107482e-03,4.524879465054019480e-04,4.386049213322243304e+03,2.624754038903534301e-05
3.060221569877943134e-03,9.256255322663357312e-04,5.496428703641917770e-04,4.386042843408193221e+03,3.743829426869039144e-05
3.956829559971393288e-03,3.228664722194285941e-04,5.408036859554023624e-04,4.386047874512850285e+03,2.413144733315541823e-05
1.176851001104552673e-03,2.740006678603670778e-03,2.175170343098199570e-04,4.386052959675805141e+03,4.524851810498424650e-05
3.836554092975768410e-03,4.353758297945243237e-04,2.988141001819711738e-04,4.386047304661464295e+03,3.683899730545742390e-05
1.716160155728758659e-03,1.313690607347167737e-03,3.792925289040629481e-04,4.386046424921467406e+03,2.758072384147474548e-05
5.375955785835705722e-04,2.858796613808302616e-03,5.709359257671724024e-04,4.386060319363171402e+03,1.812279857792210608e-05
3.195258397108170431e-03,3.412906696055398054e-03,2.263713041035148087e-04,4.386058046353216014e+03,3.772090515688725985e-05
1.312037331500261325e-03,2.066977353076628488e-03,5.983946379510051095e-05,4.386066059652477634e+03,3.566519192047727069e-05
3.749325457500791124e-03,6.008211886767882495e-04,5.127535163722352421e-04,4.386038791735853920e+03,3.604636116562699391e-05
3.649941277181564673e-04,3.266741429323416750e-03,1.168071911512972595e-04,4.386054622000305244e+03,3.682028162202998677e-05
1.747984392496928141e-04,2.867373692169180796e-03,1.787551152732132892e-04,4.386053576853649247e+03,2.411074622480547010e-05
2.844947099244514530e-03,2.216992808467577267e-03,8.906191562700147154e-05,4.386044473061106146e+03,3.039101569805468704e-05
3.706434248435106025e-03,1.811693907978068454e-03,4.286858331933936120e-04,4.386049418978906942e+03,2.555485736138122382e-05
2.004002973705102178e-03,2.409335386135884414e-03,1.969917222536906503e-04,4.386041937652238630e+03,3.885779552248347677e-05
8.220129521770672305e-04,2.167358160176710742e-03,2.682356447735207306e-04,4.386032203774811933e+03,3.432745466992972896e-05
1.567036311936448193e-03,2.679930058579242658e-03,4.028904827527624477e-04,4.386036822486214078e+03,2.995564073919463255e-05
2.051632953032846336e-04,1.362607169842189412e-03,2.512332559042108112e-04,4.386029251161044158e+03,2.365560428996864648e-05
4.114585840706120961e-04,9.592551403306194156e-04,5.755675287867182972e-05,4.386057915208119084e+03,2.963219405870822379e-05
3.955329173742975352e-03,2.932099879302966020e-03,7.711059881971711843e-05,4.386056887736208409e+03,2.986367018004867547e-05
1.155941354865127745e-04,2.861337534993527599e-03,2.679003803764159184e-04,4.386077316099471318e+03,3.605687503958523294e-05
3.127370793648932140e-03,3.664644334322261603e-03,3.527191339701065288e-04,4.386060166124856551e+03,3.454719315644224980e-05
7.731754697943365399e-04,3.106461762017878950e-03,5.374439119804562924e-04,4.386023098695282897e+03,3.953730291496649111e-05
2.315775182605615042e-03,2.716307556002217193e-03,2.129171529089384353e-04,4.386069852936724601e+03,3.209449719011041340e-05
1.532191723699438506e-03,2.926573648179369574e-03,5.347060292694230665e-04,4.386068132847662127e+03,2.566399396364455699e-05
2.506724775212055244e-03,3.138653792278699606e-03,1.264746456180843937e-04,4.386047630520280109e+03,3.577366104012895094e-05
8.689334093622520057e-04,2.125792423205584772e-03,1.296227329769978091e-04,4.386053605350353791e+03,3.662161800081193639e-05
2.530963393227107349e-03,1.180529100286039712e-03,4.554468832979163394e-04,4.386082607245559302e+03,3.339709976753672631e-05
3.209755549599476506e-03,1.857816114108260148e-03,1.319879542085527439e-04,4.386051347406558307e+03,3.681446778269478542e-05
2.577586032101560325e-03,3.939206091093015727e-03,3.656083143205168936e-04,4.386071767041194107e+03,3.240952052053077900e-05
1.735813570323394743e-04,1.008720031060090404e-04,2.040128191178069463e-04,4.386027040114124247e+03,3.283168061559616120e-05
8.022628326587838117e-04,3.232521721499946512e-03,4.852037302223135748e-04,4.386035483875993123e+03,3.143751984363867322e-05
1.044725073997051145e-03,1.309982910843275269e-03,1.529481634518142579e-04,4.386047522499346087e+03,2.123195082483098642e-05
3.612855767458438266e-03,2.010463215563397955e-03,3.857777673480114835e-04,4.386053558182751658e+03,2.531256803173547308e-05
1.665605136523027816e-03,2.518357252796581992e-03,2.364788689553634019e-04,4.386064964595728270e+03,2.175154107003543746e-05
1.369785369837857704e-03,2.528633256679860275e-03,3.483486065989174242e-04,4.386087075653868851e+03,3.452941314985624640e-05
1.186371127956554940e-03,6.182137940410426056e-04,2.289492964700229490e-04,4.386045307816556488e+03,2.968758127850550186e-05
1.666323909232200317e-03,2.506340683038725536e-03,5.216692631074677745e-04,4.386022363163046975e+03,3.262499185502244211e-05
1.820261622834952713e-04,9.952516211049664517e-04,1.408523139754027102e-04,4.386064048368401927e+03,4.019593574494968323e-05
2.009046555623975657e-03,1.722819408273813845e-03,4.243376965215860672e-04,4.386054399518611717e+03,2.856490901424924174e-05
9.857276391906392640e-04,2.372100161421376516e-03,5.063754614476278192e-04,4.386035934647342401e+03,3.118202908007991101e-05
3.612711586215519924e-03,3.801624913404241107e-03,4.439953869066385977e-04,4.386049784525013820e+03,3.652422634797245399e-05
3.601069308181608850e-03,9.530858762500910410e-04,1.355935291507761350e-04,4.386060807656064753e+03,2.818103261363845752e-05
4.986732637998786438e-05,2.817354002040010734e-03,5.412811812623636362e-04,4.386062296651696670e+03,2.422939595975897361e-05
7.660727925345820356e-04,2.539755609362268855e-03,4.334444740058756261e-04,4.386049984101382506e+03,2.927735865027116487e-05
3.687579594215032938e-03,2.579583879305375783e-03,5.570155416678309289e-04,4.386041533986382092e+03,2.674998222319731897e-05
1.391443578416552739e-03,1.412033726393508099e-03,3.222765446751877944e-04,4.386081971683737720e+03,4.104574846064389657e-05
1.542759568722903074e-03,4.315883204702450289e-05,4.216510968046755414e-04,4.386057007497234736e+03,3.756302824075045607e-05
2.989508300106631915e-03,2.970865618861976473e-03,2.177006728569231522e-04,4.386046142613577103e+03,3.448289735438055342e-05
2.087415603040895448e-03,1.450839453252301351e-03,4.745158267076525770e-05,4.386040338207658351e+03,3.908325197884021679e-05
2.245115948350614836e-03,5.232373958302996000e-04,7.949577858266628546e-05,4.386060237707899432e+03,3.746914391007166105e-05
3.008034189277216004e-03,6.482849384575779534e-05,5.503219409228041811e-04,4.386038382166874726e+03,2.732316321376119700e-05
2.059810135239368342e-03,3.893712783922002527e-03,6.989484874381679709e-05,4.386034267415549039e+03,3.970148473678316816e-05
2.328592776425649023e-03,1.407275051126712605e-03,4.833683780627139178e-04,4.386051244164109448e+03,3.307463713753593597e-05
1.455312721351878892e-03,1.059937022206630143e-03,4.876806468202581003e-04,4.386040803902022162e+03,3.754858705540941178e-05
1.508593281845424300e-03,1.058060725983587581e-04,2.429093375909055085e-04,4.386055467237963967e+03,3.981316876508320015e-05
2.608895872405334569e-03,1.032052377473529096e-03,2.632389101765056729e-04,4.386030330823434269e+03,2.974718044614557954e-05
2.493611613423758473e-04,2.347899681555759392e-03,4.407677312028236618e-04,4.386056626003186466e+03,2.537940064801845968e-05
1.658133255744009956e-03,1.685423741169505673e-03,7.616110299277415829e-05,4.386040477518479747e+03,2.816446199410295036e-05
8.265001086204985326e-04,6.404090798742012071e-04,2.901638081974366209e-04,4.386000844040584525e+03,3.143109594995374987e-05
2.114811807036262332e-03,3.761841553728680673e-03,7.618273063089768494e-05,4.386031063876553162e+03,3.777672015122611319e-05
2.391723038769096553e-03,2.103938062624034506e-03,3.084803167934239867e-04,4.386074904147395500e+03,3.879548971651978112e-05
3.478813667222218752e-03,8.330620495586492586e-04,4.147576823036006901e-05,4.386068489357448016e+03,1.852222733894532704e-05
2.677834378305407863e-03,1.390743161919198809e-03,4.206183266312328882e-05,4.386037922219979009e+03,3.265674163383497879e-05
1.021053531106815709e-03,1.249238267251660860e-03,3.627919913139602301e-04,4.386062736352849242e+03,3.128695792344753958e-05
7.087121859374257348e-04,1.657095327774514917e-03,2.904684516388070801e-04,4.386054580582272138e+03,2.805163827115933419e-05
1.839042468108474659e-03,3.871429199903101033e-03,5.063803119990146638e-05,4.386081257205551083e+03,2.567184390484683349e-05
3.776757883630026298e-03,2.322822308313638937e-03,4.596557378348666120e-04,4.386044643036693742e+03,3.006294345602646625e-05
1.727369379318051011e-03,1.819197235606278889e-03,4.959946651152585860e-04,4.386057840249095534e+03,4.165439848814433537e-05
1.985165317401146705e-03,3.577226263294808455e-03,2.040119360072155917e-04,4.386024727321876526e+03,2.983164608187620365e-05
2.598094172234484498e-03,2.818962776050774801e-03,4.489381676274013973e-04,4.386045627571314071e+03,3.277411550136773551e-05
