position_0,position_1,position_2,density,radius
2.283571691194639149e-03,3.203012786703555471e-03,4.401542049884439177e-04,4.386039397996135449e+03,3.063940634458484091e-05
6.447181755254603394e-04,6.265076923379983434e-04,1.804088852240392647e-04,4.386038635569915641e+03,4.206666965029554902e-05
1.454329004707439815e-03,1.640431631403957251e-03,3.948445860930250672e-04,4.386071858552793856e+03,3.609890079436822746e-05
2.568263136846535397e-04,1.702898848335291011e-04,2.424863874367404410e-04,4.386038770164431298e+03,3.395359375674264404e-05
2.778155665456142048e-03,7.900661520373376562e-04,3.773674771683214373e-04,4.386039915458463838e+03,2.662534613226816207e-05
1.052101589121836331e-03,3.523785533692099826e-03,5.163436653304412935e-04,4.386061702005630650e+03,2.662476205780370248e-05
1.198633708064023593e-03,9.326085537968882566e-04,2.509324525467437200e-04,4.386047900403091262e+03,2.339489943170825379e-05
9.823335191549307979e-04,2.676110266750642182e-03,4.702451717136895944e-04,4.386062643858715091e+03,3.893957275756619580e-05
2.680601521461712256e-03,3.275352072463211250e-03,2.451978886370179784e-04,4.386024965508321657e+03,3.399057519602454331e-05
6.497970515506955964e-04,2.934820876739803030e-03,2.262428450697746352e-04,4.386049482078540677e+03,3.568574329352940892e-05
2.677979796461617615e-03,1.092088373344326331e-03,6.610639664653453988e-05,4.386019774000358666e+03,2.073763714692733522e-05
3.927613512480779973e-03,6.546181264631087968e-04,5.506997260738972751e-04,4.386024610615850179e+03,4.335693062710367526e-05
3.872749390046828152e-03,3.152882485378517407e-03,3.835052099745212993e-04,4.386071876571743815e+03,3.810168596801235961e-05
2.306892999447611534e-03,3.444007978722253213e-03,1.853955818796478548e-04,4.386032011092848734e+03,2.785866796606054234e-05
1.872484269242314639e-03,2.471060344754065323e-03,2.515490334513668393e-04,4.386051352268810660e+03,2.721976036358069375e-05
1.713898437506859674e-03,1.330389636894313945e-03,3.350378953901234796e-04,4.386046264823506135e+03,2.725436396882308484e-05
3.381599663923561417e-03,8.237357261180774763e-04,5.350102423412469391e-04,4.386043476877386638e+03,2.952075305370028467e-05
2.743923304708075286e-03,3.271846532194734158e-03,3.300214236846113784e-04,4.386071241385595386e+03,3.286124196503672758e-05
3.100455715990635928e-03,9.528362552454144136e-05,4.709685368160300986e-04,4.386016778355531642e+03,3.150275031133178706e-05
1.875055339822959361e-04,3.536802686737903871e-03,5.663462405678688092e-04,4.386057026940196920e+03,2.930242984570072216e-05
1.190336257694787122e-03,8.610611791937400209e-04,4.410921327902315265e-04,4.386079601986640228e+03,3.415295401193646686e-05
1.025051903962473799e-03,3.443086484545296831e-03,8.252483779559502256e-05,4.386052516396210194e+03,2.621036658261708714e-05
5.257532266619703402e-04,3.888510753817083811e-03,3.941101445424246663e-04,4.386075319895502616e+03,2.931793321580461101e-05
3.366379424377832861e-03,1.308038153755384375e-03,3.951199827006181275e-04,4.386023131145956540e+03,3.051348081905717402e-05
2.370962578782002689e-03,2.406028147535622767e-03,3.978892023118051242e-04,4.386046592996132858e+03,3.185809647303938129e-05
2.295846282336288721e-03,1.721511881724094133e-03,1.821764642320256359e-04,4.386039318922686107e+03,3.709176964116093014e-05
3.059499294321765123e-03,9.201998282532889957e-04,4.047943825864837482e-04,4.386060223521844819e+03,2.760063270338463873e-05
9.507753868490149019e-04,2.493122177213749711e-03,4.320842772043660750e-04,4.386084228352190621e+03,3.270761783473810635e-05
8.939041691358756052e-04,2.695737149303891974e-04,1.035745964302992950e-04,4.386039132651028012e+03,3.385985435909011598e-05
2.419160554915027184e-03,3.381871135728996020e-03,4.771984873459751740e-05,4.386056591455349007e+03,2.277100134729453885e-05
2.920641698820040325e-03,1.376092736116251271e-03,2.885808572339056913e-04,4.386035908144669520e+03,3.408766071103033486e-05
3.692308485893975711e-03,1.336948312075777459e-03,2.810716460423804330e-04,4.386052734156823135e+03,2.696653659294245866e-05
7.780419186494504959e-05,3.462469568537876420e-04,1.666091698336686841e-04,4.386048495228680622e+03,2.372372861127936257e-05
1.510370542360227884e-04,2.514474770087438311e-03,2.620165137178115692e-04,4.386081527456536605e+03,4.196577255882696542e-05
2.188438144233489317e-03,7.265838123648494812e-04,1.951183000610570944e-04,4.386054578664644396e+03,4.302263199514093578e-05
2.642988483152729825e-03,3.826249055538894547e-03,6.403077416449717884e-05,4.386043574062690823e+03,3.756891718785180785e-05
3.538483587137223208e-03,2.302984674480661968e-03,3.345770436840360624e-04,4.386030005833157702e+03,2.952692392119527921e-05
2.001100223639988487e-03,2.990918454561138909e-04,7.441817829388836566e-05,4.386032881787151382e+03,2.498282203643022054e-05
2.396525788709363489e-03,1.375059216323276439e-03,5.209106198165568830e-04,4.386037468495125722e+03,3.528932895775395434e-05
1.632270109435626261e-03,5.956875626362170394e-04,4.152507672169600305e-04,4.386038844317259645e+03,3.162399092516678329e-05
1.184049501938000230e-03,2.100570307612911226e-03,4.085174889776638121e-04,4.386067250279909786e+03,2.573431471289678622e-05
3.575095582346715910e-03,3.149813453798223396e-03,3.943779798532692782e-04,4.386052560848323083e+03,3.242966548212402814e-05
2.710636452646600098e-03,3.764096716193494462e-03,1.864695790625901209e-04,4.386050975123116586e+03,2.197889284342995916e-05
4.461626561186530083e-05,1.106179283829954651e-03,1.534487632483168013e-04,4.386030063304020587e+03,4.025742893325587508e-05
2.638037086282396353e-03,2.527161480696234978e-03,3.507052455739732497e-04,4.386067943101518722e+03,2.873691728824323750e-05
9.877794954441678865e-05,2.899125553289863370e-03,2.064496754294685280e-04,4.386059823792498719e+03,3.493924395658195122e-05
2.650438057077404187e-03,2.222959271753265770e-03,2.149627808170928871e-04,4.386025258007356570e+03,2.964418015976294840e-05
5.622715777716820983e-04,4.042758423729804528e-04,4.771681941414811397e-04,4.386059090640143040e+03,3.279276521713910485e-05
3.645823040533004763e-03,2.589211440714115492e-03,8.837872966973653798e-05,4.386051817587805090e+03,3.318270902726220390e-05
1.613455431755438660e-03,2.903263145622344155e-03,4.526221637385280708e-04,4.386026897942119831e+03,2.728596673821420741e-05
5.059598461158468187e-04,4.345045262232893212e-05,4.088983295820721245e-04,4.386048259464848343e+03,4.333023935064526081e-05
1.436966395422087459e-03,1.036042017702101543e-03,4.368151706074413260e-05,4.386049362225161531e+03,3.689473258484005655e-05
2.157853762323181518e-03,3.375466022554436760e-03,5.366067583689108737e-04,4.386033876988562952e+03,4.148776609302029067e-05
2.257750067923577127e-03,2.056694973111279461e-03,8.404085203647139457e-05,4.386076561142327591e+03,3.977289876100854660e-05
2.192173506650578647e-03,1.528063860907421818e-03,3.570083570946602325e-04,4.386067204737351858e+03,3.394218681047379577e-05
1.563968675335554188e-03,9.823492349040358756e-04,8.996940677376120510e-05,4.386057265948876193e+03,4.072520159269882675e-05
1.268803726462582136e-03,4.064765750117082404e-04,1.220766256561587866e-04,4.386048426735797875e+03,2.466466225313412652e-05
3.922518124282360283e-03,1.779491172493406293e-03,3.173686071521645375e-04,4.386046293440422232e+03,2.752361954222304596e-05
3.477512890290643602e-03,3.959778175287319117e-03,3.458736675126738384e-04,4.386056447477443726e+03,2.269858606256014064e-05
3.231230570261031405e-03,1.318101271387388165e-03,1.950496935832934551e-04,4.386051896977066463e+03,2.986604422297552670e-05
1.616819055366309002e-03,2.679383595581958776e-03,3.980719306833830663e-04,4.386024559965232584e+03,3.085509255565975967e-05
1.271659028203315188e-03,5.540840936871840308e-04,3.717693930446491660e-04,4.386050520999550827e+03,2.895988542037705710e-05
5.415630239545032084e-04,2.308001996098933001e-03,4.013467728912914023e-04,4.386064361830342932e+03,3.801660153954211901e-05
2.790263115851859647e-03,2.998495418017031906e-03,5.010723954956948717e-04,4.386048298806667844e+03,3.036433590523616134e-05
1.999838356700180987e-03,2.907584052349579482e-03,3.645614720054450456e-04,4.386023085004199856e+03,2.912649941593547487e-05
7.673191132867071941e-04,1.341805054473538044e-04,1.849984489976084817e-04,4.386063182036838953e+03,3.312380346521187825e-05
1.775125275537911291e-03,2.462276291702250250e-03,4.916044549781178755e-04,4.386036101747723478e+03,2.624754038903534301e-05
8.077269513113220735e-04,5.302367139034159941e-04,5.433841711622343969e-04,4.386039240169331606e+03,3.743829426869039144e-05
4.510951416503324583e-04,1.915002363646558896e-03,3.472086840459732396e-04,4.386033805781648880e+03,2.413144733315541823e-05
2.161753421162725553e-03,3.815914910065250701e-04,7.430389980562756018e-05,4.386042699094486125e+03,4.524851810498424650e-05
4.510008997495850163e-04,2.336044806579322657e-03,3.233396901884495397e-04,4.386061561321886074e+03,3.683899730545742390e-05
9.496504115171456803e-04,2.543496746264887250e-03,4.743851144637345712e-04,4.386050808015615075e+03,2.758072384147474548e-05
1.829315837355385041e-04,1.992587555504985852e-03,4.067245783271331624e-04,4.386036308173652287e+03,1.812279857792210608e-05
1.027933744893741279e-03,1.245585732072259158e-03,3.596096926718500455e-04,4.386069319783221545e+03,3.772090515688725985e-05
3.563356296549742390e-03,3.217590653349705707e-03,3.439484210225941287e-04,4.386069463398222979e+03,3.566519192047727069e-05
2.904289560656099674e-03,1.469035196951928987e-03,3.744167281837522572e-04,4.386068739970514798e+03,3.604636116562699391e-05
1.867216771187612352e-03,7.825778233831380505e-04,4.061868442101486225e-04,4.386038201544746698e+03,3.682028162202998677e-05
2.223135740311701480e-03,1.441303806132728177e-03,5.269681243985725521e-04,4.386047963361735128e+03,2.411074622480547010e-05
1.128550687979933874e-04,1.274290287102743243e-03,6.106248745906712203e-05,4.386085608179185328e+03,3.039101569805468704e-05
3.052487129788597833e-03,2.798100162132070769e-03,2.074308712308038747e-04,4.386062384376049522e+03,2.555485736138122382e-05
2.688999862558595372e-03,1.591836204755759775e-03,4.338373599955523707e-04,4.386018263820282300e+03,3.885779552248347677e-05
1.819880167427919901e-03,1.655141338659646931e-03,5.309916063578064933e-04,4.386024944689639597e+03,3.432745466992972896e-05
1.018441551931399160e-03,5.045288462355989201e-04,3.456607817001281511e-04,4.386048495182249098e+03,2.995564073919463255e-05
3.855083066984624478e-03,1.517136429348388748e-03,5.794262820357200196e-05,4.386072153979370341e+03,2.365560428996864648e-05
1.366744544244860148e-03,2.023375081414461110e-03,1.171897301278459108e-04,4.386051615009040688e+03,2.963219405870822379e-05
2.622965847236422184e-03,3.961268308869360204e-03,2.739261583328792167e-04,4.386049908859118659e+03,2.986367018004867547e-05
1.429390295474448295e-03,1.609977262234668725e-03,9.684095934534280459e-05,4.386029247548216517e+03,3.605687503958523294e-05
3.506612351424420911e-03,1.665187691146762265e-03,2.401533522192640657e-04,4.386056709007189056e+03,3.454719315644224980e-05
2.626133646335045493e-03,1.772717368115674921e-03,3.772185781679234960e-04,4.386065334604485543e+03,3.953730291496649111e-05
2.739354821413699588e-04,3.234755788941780143e-03,5.360268659718004465e-04,4.386044941160317649e+03,3.209449719011041340e-05
2.587425716692756325e-03,3.794931760926621277e-03,1.087506665818395988e-04,4.386062582902583017e+03,2.566399396364455699e-05
1.911280569086463293e-03,2.399942936598255076e-03,3.431939502139078751e-04,4.386079822892441371e+03,3.577366104012895094e-05
1.613064374525534491e-03,1.364196859282174957e-03,1.034270297167276249e-04,4.386036242978692826e+03,3.662161800081193639e-05
1.574200778607434377e-03,6.731755612487839166e-04,4.249651381355373726e-04,4.386050972565555639e+03,3.339709976753672631e-05
8.567622102674634418e-04,2.667635878316678842e-04,3.275640197031871306e-04,4.386040665343420187e+03,3.681446778269478542e-05
2.374746230924138380e-03,3.463545197139174074e-03,3.411990931559002408e-04,4.386063560048905856e+03,3.240952052053077900e-05
1.392069661412875543e-03,3.192150747471275349e-03,3.215224883990943088e-04,4.386053253421438967e+03,3.283168061559616120e-05
3.435739073258007670e-04,2.259261884659861247e-03,5.191569450164652561e-04,4.386055717477629514e+03,3.143751984363867322e-05
1.589653472466037330e-03,1.193952008715900908e-03,1.012213521230993947e-04,4.386063855704680464e+03,2.123195082483098642e-05
6.234277056189837813e-04,1.734489390119816092e-03,3.525640903802112710e-04,4.386045615630523571e+03,2.531256803173547308e-05
3.407061431555941230e-04,3.739151767666106050e-03,4.419810717507057277e-04,4.386072760178656608e+03,2.175154107003543746e-05
2.340513527008498268e-03,3.291073094629478561e-03,7.710386392689920032e-05,4.386051377693567701e+03,3.452941314985624640e-05
1.908730706332095652e-03,2.512648206891691851e-03,4.776779239453659903e-04,4.386033348687700709e+03,2.968758127850550186e-05
3.115381856021561761e-03,1.122823226678267092e-03,5.357606778537025646e-04,4.386058518845030449e+03,3.262499185502244211e-05
5.275829065638170355e-04,3.470376780824875086e-03,5.447043817371355215e-04,4.386063583668740648e+03,4.019593574494968323e-05
7.270582533599355066e-04,2.875577662976874175e-03,5.043471592407761518e-05,4.386042076920932232e+03,2.856490901424924174e-05
1.627589516990265300e-03,2.064117704172493181e-03,3.433577719868127721e-04,4.386067724454208474e+03,3.118202908007991101e-05
