position_0,position_1,position_2,density,radius
2.559423053976528448e-03,3.620432691701753417e-04,1.177122191051578864e-04,4.386019290117343189e+03,3.063940634458484091e-05
3.560685059335296290e-03,2.416762006450576435e-03,4.681112195604638629e-05,4.386055798323285671e+03,4.206666965029554902e-05
4.346590499397519325e-04,2.642202608146753187e-03,3.877041587584538794e-05,4.386041964517939050e+03,3.609890079436822746e-05
6.662657769254511433e-04,2.191625782893585461e-03,4.021060554429608798e-04,4.386050357119585897e+03,3.395359375674264404e-05
2.599752995744497152e-03,9.117600879920428631e-04,4.160088423876148419e-04,4.386071988387842794e+03,2.662534613226816207e-05
9.629877110389374736e-04,1.310896175620531552e-03,4.347692930496922033e-04,4.386038756882898269e+03,2.662476205780370248e-05
2.591530302939089488e-03,3.380553548841292843e-03,3.871930598511915257e-04,4.386046234368800469e+03,2.339489943170825379e-05
2.267914597682788025e-03,4.063433331951558556e-04,2.309316620585469032e-04,4.386061497789565692e+03,3.893957275756619580e-05
1.076771283881227358e-03,9.933624520717027929e-04,5.516505311918148101e-04,4.386037660093182240e+03,3.399057519602454331e-05
1.580020672977113828e-03,3.540205275254126611e-03,3.693236169119487318e-04,4.386026369702742159e+03,3.568574329352940892e-05
3.167017834487275557e-03,2.010438998260892594e-03,3.429527210666742979e-04,4.386040792453286485e+03,2.073763714692733522e-05
1.970719594935508093e-03,8.073986084645050961e-04,4.141815872984121161e-04,4.386033571377780390e+03,4.335693062710367526e-05
1.139795334966998887e-03,1.335125930598677539e-04,3.761978980728992940e-04,4.386074416424173251e+03,3.810168596801235961e-05
7.264332503725676920e-04,3.737293158503079624e-03,5.470654551875095460e-04,4.386064465794974240e+03,2.785866796606054234e-05
3.636872542311427297e-03,1.487703299150463024e-03,3.565227948500608509e-05,4.386055665421013146e+03,2.721976036358069375e-05
3.689927150352163843e-03,1.716651183990239304e-03,5.545561308541587745e-04,4.386068809291368780e+03,2.725436396882308484e-05
3.827107086648184019e-03,3.391195611948494542e-03,1.888053822360079336e-04,4.386064197554029306e+03,2.952075305370028467e-05
1.547942577093189710e-03,3.381469111816401418e-03,2.021855436678332357e-04,4.386035209037753702e+03,3.286124196503672758e-05
6.987947616988344091e-04,2.223626257856213626e-03,5.342127146015036767e-04,4.386070575670676590e+03,3.150275031133178706e-05
