x, y
1.00523, 0.05947
1.00551, 0.05888
1.00609, 0.05696
1.00637, 0.05639
1.00694, 0.05448
1.00723, 0.05391
1.00780, 0.05214
1.00809, 0.05152
1.00880, 0.04953
1.00976, 0.04721
1.01009, 0.04660
1.01086, 0.04462
1.01191, 0.04229
1.01305, 0.03984
1.01420, 0.03752
1.01529, 0.03530
1.01567, 0.03470
1.01663, 0.03285
1.01782, 0.03064
1.01820, 0.03006
1.01921, 0.02831
1.02054, 0.02607
1.02192, 0.02386
1.02340, 0.02160
1.02488, 0.01940
1.02641, 0.01729
1.02794, 0.01516
1.02956, 0.01308
1.03118, 0.01100
1.03285, 0.00898
1.03457, 0.00698
1.03628, 0.00497
1.03805, 0.00307
1.03986, 0.00115
