x, y
1.00599, 0.05992
1.00628, 0.05833
1.00685, 0.05673
1.00748, 0.05501
1.00828, 0.05305
1.00857, 0.05207
1.00936, 0.05012
1.01012, 0.04830
1.01081, 0.04663
1.01152, 0.04495
1.01243, 0.04302
1.01334, 0.04108
1.01410, 0.03948
1.01490, 0.03785
1.01601, 0.03581
1.01687, 0.03422
1.01777, 0.03248
1.01878, 0.03078
1.01967, 0.02922
1.02078, 0.02739
1.02183, 0.02571
1.02282, 0.02417
1.02409, 0.02229
1.02501, 0.02092
1.02627, 0.01919
1.02749, 0.01746
1.02848, 0.01612
1.02988, 0.01429
1.03112, 0.01278
1.03223, 0.01135
1.03360, 0.00971
1.03481, 0.00837
1.03609, 0.00689
1.03743, 0.00543
1.03877, 0.00397
1.04002, 0.00268
1.04153, 0.00118
1.04243, 0.00028
